"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"ANDRES FELIPE GUERRA HOYOS",2828,16.45,"PARTIDO CENTRO DEMOCRÁTICO","CAREPA","Antioquia","01080"
"OLMEDO DE JESUS LOPEZ MARTINEZ",414,2.4,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAREPA","Antioquia","01080"
"JOSE LUIS JARAMILLO CASTRILLON",228,1.32,"PARTIDO UNIÓN PATRIÓTICA","CAREPA","Antioquia","01080"
"LUIS PEREZ",6236,32.52,"PENSANDO EN GRANDE","CARMEN DE VIBORAL","Antioquia","01082"
"FEDERICO RESTREPO",5271,27.49,"COMPROMISO POR ANTIOQUIA","CARMEN DE VIBORAL","Antioquia","01082"
"ANDRES FELIPE GUERRA HOYOS",4784,24.95,"PARTIDO CENTRO DEMOCRÁTICO","CARMEN DE VIBORAL","Antioquia","01082"
"OLMEDO DE JESUS LOPEZ MARTINEZ",570,2.97,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CARMEN DE VIBORAL","Antioquia","01082"
"JOSE LUIS JARAMILLO CASTRILLON",336,1.75,"PARTIDO UNIÓN PATRIÓTICA","CARMEN DE VIBORAL","Antioquia","01082"
"LUIS PEREZ",1120,53.48,"PENSANDO EN GRANDE","CAROLINA","Antioquia","01085"
"FEDERICO RESTREPO",489,23.35,"COMPROMISO POR ANTIOQUIA","CAROLINA","Antioquia","01085"
"ANDRES FELIPE GUERRA HOYOS",289,13.8,"PARTIDO CENTRO DEMOCRÁTICO","CAROLINA","Antioquia","01085"
"OLMEDO DE JESUS LOPEZ MARTINEZ",56,2.67,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAROLINA","Antioquia","01085"
"JOSE LUIS JARAMILLO CASTRILLON",8,0.38,"PARTIDO UNIÓN PATRIÓTICA","CAROLINA","Antioquia","01085"
"LUIS PEREZ",19078,59.08,"PENSANDO EN GRANDE","CAUCASIA","Antioquia","01088"
"FEDERICO RESTREPO",4429,13.71,"COMPROMISO POR ANTIOQUIA","CAUCASIA","Antioquia","01088"
"ANDRES FELIPE GUERRA HOYOS",4355,13.48,"PARTIDO CENTRO DEMOCRÁTICO","CAUCASIA","Antioquia","01088"
"OLMEDO DE JESUS LOPEZ MARTINEZ",1272,3.93,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAUCASIA","Antioquia","01088"
"JOSE LUIS JARAMILLO CASTRILLON",404,1.25,"PARTIDO UNIÓN PATRIÓTICA","CAUCASIA","Antioquia","01088"
"LUIS PEREZ",11164,54.93,"PENSANDO EN GRANDE","CHIGORODO","Antioquia","01106"
"ANDRES FELIPE GUERRA HOYOS",3794,18.66,"PARTIDO CENTRO DEMOCRÁTICO","CHIGORODO","Antioquia","01106"
"FEDERICO RESTREPO",3141,15.45,"COMPROMISO POR ANTIOQUIA","CHIGORODO","Antioquia","01106"
"OLMEDO DE JESUS LOPEZ MARTINEZ",388,1.9,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CHIGORODO","Antioquia","01106"
"JOSE LUIS JARAMILLO CASTRILLON",301,1.48,"PARTIDO UNIÓN PATRIÓTICA","CHIGORODO","Antioquia","01106"
"LUIS PEREZ",3835,70.74,"PENSANDO EN GRANDE","CISNEROS","Antioquia","01091"
"ANDRES FELIPE GUERRA HOYOS",690,12.72,"PARTIDO CENTRO DEMOCRÁTICO","CISNEROS","Antioquia","01091"
"FEDERICO RESTREPO",503,9.27,"COMPROMISO POR ANTIOQUIA","CISNEROS","Antioquia","01091"
"OLMEDO DE JESUS LOPEZ MARTINEZ",63,1.16,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CISNEROS","Antioquia","01091"
"JOSE LUIS JARAMILLO CASTRILLON",30,0.55,"PARTIDO UNIÓN PATRIÓTICA","CISNEROS","Antioquia","01091"
"ANDRES FELIPE GUERRA HOYOS",2462,40.61,"PARTIDO CENTRO DEMOCRÁTICO","COCORNA","Antioquia","01094"
"LUIS PEREZ",2083,34.36,"PENSANDO EN GRANDE","COCORNA","Antioquia","01094"
"FEDERICO RESTREPO",1034,17.05,"COMPROMISO POR ANTIOQUIA","COCORNA","Antioquia","01094"
"OLMEDO DE JESUS LOPEZ MARTINEZ",124,2.04,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","COCORNA","Antioquia","01094"
"JOSE LUIS JARAMILLO CASTRILLON",86,1.41,"PARTIDO UNIÓN PATRIÓTICA","COCORNA","Antioquia","01094"
"ANDRES FELIPE GUERRA HOYOS",1243,48.68,"PARTIDO CENTRO DEMOCRÁTICO","CONCEPCION","Antioquia","01097"
"LUIS PEREZ",1019,39.91,"PENSANDO EN GRANDE","CONCEPCION","Antioquia","01097"
"FEDERICO RESTREPO",225,8.81,"COMPROMISO POR ANTIOQUIA","CONCEPCION","Antioquia","01097"
"JOSE LUIS JARAMILLO CASTRILLON",7,0.27,"PARTIDO UNIÓN PATRIÓTICA","CONCEPCION","Antioquia","01097"
"OLMEDO DE JESUS LOPEZ MARTINEZ",2,0.07,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CONCEPCION","Antioquia","01097"
"ANDRES FELIPE GUERRA HOYOS",2313,40.6,"PARTIDO CENTRO DEMOCRÁTICO","CONCORDIA","Antioquia","01100"
"LUIS PEREZ",2156,37.85,"PENSANDO EN GRANDE","CONCORDIA","Antioquia","01100"
